Country,WHO Region,Population,LF DALYs,SCHIST DALYs,Whipworm DALYs,Unnamed: 6,Unnamed: 7,Hookworm DALYs,Unnamed: 9,Unnamed: 10,Roundworm DALYs,Unnamed: 12,Unnamed: 13,ONCH DALYs,LF Treatment Coverage,Unnamed: 16,Unnamed: 17,Unnamed: 18,SCHIST Treatment Coverage,Unnamed: 20,STH,Unnamed: 22,Unnamed: 23,Unnamed: 24,ONCH Treatment Coverage,Unnamed: 26,Unnamed: 27,Unnamed: 28,Prevalence (%),Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,LF Efficacy,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Schist Efficacy,Unnamed: 46,Whipworm Efficacy,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Hookworm Efficacy,Unnamed: 54,Unnamed: 55,Unnamed: 56,Roundworm Efficacy,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,ONCH Efficacy,Unnamed: 64,Treatment Guidelines,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Impact of  LF,Unnamed: 75,Impact of Schist,Impact of Whipworm,Unnamed: 78,Unnamed: 79,Impact of Hookworm,Unnamed: 81,Impact of Roundworm,Unnamed: 83,Unnamed: 84,Impact of Onch,Unnamed: 86
,,,Total,Total,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Total,Prevalence,Number Treated,LF Treatment Coverage,Estimated LF Treatment Coverage,SCHIST Treatment Coverage,Estimated Schist Treatment Coverage,STH Pre-SAC Treatment Coverage,Estimated STH Pre-SAC Treatment Coverage,STH SAC Treatment Coverage,Estimated STH SAC Treatment Coverage,Number of People Needing Treatment for ONCH,Number of People Treated for ONCH,ONCH Treatment Coverage,Estimated ONCH Treatment Coverage,LF,SCHIST All Ages,SCHIST SAC,Whipworm,Whipworm,Hookworm,Hookworm,Roundworm,Roundworm,ONCH,,,,,,,PZQ,,Alb,,Mbd,,Ivm+Alb,,Alb,,Mbd,,Alb,,Mbd,,Ivm+Alb,,Ivermectin,Ivermectin,LF,ONCH,SCHIST,STH Level,Coding,MDA type,Treatment Part 1,Treatment Part 2,Diseases targeted by the MDA,DEC+ALB,IVM+ALB,PZQ,ALB,MBD,IVM+ALB,ALB,MBD,ALB,MBD,IVM+ALB,IVM,
,,,,,,,,,,,,,,,,,Global Average,52.62%,Global Average,42.35%,Global Average,65.08%,Global Average,55.99%,,,100.00%,62.96%,,,5-14 years,1.92%,6.20%,1.43%,5.48%,2.52%,3.94%,,Single Dose of DEC (6mg/kg),Estimated Efficacy,Single dose of DEC (6mg/kg) + ALB(400mg),Estimated Efficacy,Combination of ALB (400mg) +IVM (400ug/kg),Estimated Efficacy,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,1 if endemic,1 if endemic,1 if endemic,"2 if high, 1 if low",,,,,,961.48,920.51,0.00,"2,753.48","1,220.43",723.60,"9,280.15","1,343.28","18,701.03",10.56,"5,000.95","1,979.86",
US Virgin Islands,AMR,"104,737",0.00,0,,,0,0,0,0,,,0.00,0,,,,22.88%,,39.44%,,54.25%,,65.07%,,,,34.90%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,0.00%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,,
Uzbekistan,EUR,"30,243,200",0.00,0,0,0,0,0.17675265,0.17775939,0.354512034,5.605188249,1.45952892,7.06,0,,,,52.62%,,34.68%,,100.00%,,100.00%,,,,62.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,35.74%,,51.37%,,37.15%,,90.6%,,39.33%,,50.18%,,59.76%,,78.96%,,50.13%,,92.16%,,92.96%,,100.00%,,78.08%,0,1,0,0,0100,MDA3,IVM,,onch only,,,,,,,,,,,,0,
Vanuatu,WPR,"253,142",92.10,0,3.586059675,13.14728137,16.73334104,38.0144284,87.7709044,125.7853328,42.97706573,48.97124938,91.95,0,,,,40.36%,,62.60%,,38.08%,42.27%,42.27%,,,,62.96%,0.33%,0.00%,0.00%,0.00%,24.50%,0.00%,30.93%,0.00%,0.00%,0.00%,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,,46.05%,,96.93%,,93.05%,,100.00%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,,
Venezuela,AMR,"30,317,848",0.00,5028.498609,664.2089132,2733.463396,"3,397.67",637.33,757.255908,"1,394.58","1,024.33","1,721.56","2,745.89",861.9538227,,,,22.88%,,39.44%,,54.25%,,65.07%,"12,800.00",,0.00%,34.90%,0.00%,2.00%,0.03%,0.00%,33.23%,0.00%,3.44%,0.00%,0.00%,0.03%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,1,0,0010,T2,PZQ,PZQ,schist only,,,2863.651,,,,,,,,,,
Viet Nam,WPR,"89,759,500","1,432.07",0.00,564.35,12.72,577.07,0.00,0.00,"4,062.36","3,519.34",321.31,"3,840.65",0,,,,40.36%,,62.60%,42.57%,42.57%,67.74%,67.74%,,,,62.96%,0.03%,0.00%,0.00%,0.00%,2.54%,0.00%,1.70%,0.00%,0.00%,0.00%,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,62.00%,62.00%,32.00%,32.00%,,96.93%,,93.05%,,100.00%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,,
Wallis and Futuna Islands,WPR,"12,197",0.00,0,,,0,0,0,0,,,0.00,0,,,,40.36%,78.20%,78.20%,,38.08%,,39.71%,,,,62.96%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,0.00%,0.00%,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,,46.05%,,96.93%,,93.05%,,100.00%,,78.08%,0,1,0,0,0100,MDA3,IVM,,onch only,,,,,,,,,,,,0,
West Bank and Gaza Strip,EMR,"4,169,506",0.00,0,,,0,0,0,0,,,0.00,0,,,,47.14%,,59.49%,,92.16%,,52.10%,,,,31.22%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,0.00%,0.00%,,35.74%,,79.35%,,37.15%,,90.6%,,39.33%,,50.18%,,59.76%,,93.08%,,50.13%,,95.50%,,100.00%,,100.00%,,78.08%,0,1,0,0,0100,MDA3,IVM,,onch only,,,,,,,,,,,,0,
Yemen,EMR,"25,576,322",48.56,9865.65276,3.850222085,16.37357813,20.22380021,185.644309,342.781411,528.42572,790.1730677,1079.202384,"1,869.38",0,,,,47.14%,67.53%,67.53%,,92.16%,85.45%,85.45%,"300,000.00","65,376.00",21.79%,21.79%,0.00%,3.00%,0.63%,0.00%,5.38%,0.00%,1.65%,0.00%,0.00%,0.00%,,35.74%,,79.35%,,37.15%,,90.6%,,39.33%,,50.18%,,59.76%,,93.08%,,50.13%,,95.50%,,100.00%,,100.00%,,78.08%,0,1,1,0,0110,MDA3+T2,IVM,PZQ,onch+schist,,,15549.615,,,,,,,,,0,
Zambia,AFR,"15,153,210","4,679.51",29128.63144,4.230256542,18.48285398,22.71311052,2090.67368,5336.38186,7427.055539,3506.747165,485.3234374,"3,992.07",0,"8,780,000",,0.00%,25.90%,0.00%,0.00%,97.50%,97.50%,,56.68%,,,,65.53%,0.79%,19.00%,7.57%,0.00%,6.87%,0.00%,27.13%,0.00%,0.00%,0.00%,,31.23%,,40.00%,,29.43%,,84.0%,,38.16%,,56.76%,,47.18%,,80.18%,,70.92%,,90.67%,,93.59%,,100.00%,,83.90%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,3.050076375,0.0,,,,,,,,,0,
Zimbabwe,AFR,"15,054,506",63.95,"19,070.34",470.85,2063.252408,"2,534.10","2,912.52","2,800.48",5712.998211,772.846429,227.9867744,"1,000.83",0,"6,000,000",,0.00%,25.90%,0.00%,0.00%,70.41%,70.41%,79.25%,79.25%,,,,65.53%,0.01%,10.00%,6.74%,0.00%,30.56%,0.00%,18.31%,0.00%,0.00%,0.00%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,56.76%,,47.18%,,80.18%,,70.92%,,90.67%,,93.59%,,100.00%,,83.90%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,0.0005276230891,0.0,,,,,,,,,0,
,,,,"2,029,995.52",,,,,,,,,,,,,,,,,,,,,,,,,,812.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001,sth only,,,EMR,0,0.04458678286,50,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000,none,,,AFR,4.22475621,595.536325,,2639.377066,1218.809492,723.6026967,6164.407243,1342.650125,16222.3036,0,5000.946428,,
,company,drug,score,,LF,,,Schistosomiasis,,,Whipworm,,,Hookworm,,,Roundworm,,,Onch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111,lf+onch+schist+sth,,,WPR,461.9833178,0,,16.05506206,0,0,531.2372669,0,1420.536117,0,0,,
,Bayer Healthcare,PZQ,0.00,,company,drug,score,company,drug,score,company,drug,score,company,drug,score,company,drug,score,company,drug,score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,lf+sth,,,AMR,142.1411796,0,,1.063292051,1.619961533,0,3.189605406,0.6275220243,13.57781793,10.56347699,0,,
,GlaxoSmithKline,ALB,"34,537.93",,GlaxoSmithKline,ALB,940.9941672,Bayer Healthcare,PZQ,0.00,GlaxoSmithKline,ALB,"3,115.28",GlaxoSmithKline,ALB,"9,280.15",GlaxoSmithKline,ALB,"21,201.50",Merck,IVM,"1,979.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0110,onch+schist,,,EUR,0,0,,0,0,0,0,0,0,0,0,,
,Merck,IVM,"5,302.39",,Pfizer Inc.,DEC,480.7407614,,,,Merck,IVM,361.80,Johnson and Johnson,MDB,"1,343.28",Merck,IVM,2500.473214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,lf+onch+schist ,,,SEA,353.1322693,324.9258996,,96.9827456,0,0,2581.320449,0,1044.613265,0,0,,
,Johnson and Johnson,MDB,"2,574.27",,Merck,IVM,460.2534057,,,,Johnson and Johnson,MDB,"1,220.43",,,,Johnson and Johnson,MDB,10.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,lf only,,,,,,,,,,,,,,,,
,Pfizer Inc.,DEC,480.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111,onch+schist+sth,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0101,onch+sth,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,lf+schist+sth,,,,Total Impact by Region,LF Impact,Schist Impact,Whipworm Impact,Hookworm Impact,Roundworm Impact,Onch Impact,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,lf+onch,,,,EMR,0.04,0.00,0.00,0.00,0.00,0.00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0100,onch only,,,,AFR,599.76,0.00,"4,581.79","7,507.06","21,223.25",1979.860343,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010,schist only,,,,WPR,461.98,0.00,16.06,531.24,"1,420.54",0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101,lf+onch+sth,,,,AMR,142.14,0.00,2.68,3.82,24.14,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0011,schist+sth,,,,EUR,0.00,0.00,0.00,0.00,0.00,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,lf+schist ,,,,SEA,678.06,0.00,96.98,"2,581.32","1,044.61",0,,,,,,
