Country,WHO Region,Population,Trachoma DALYs,,,Trachoma Treatment Coverage,,,,Prevalence %,,,Trachoma Efficacy,,Treatment Guidelines,Impact
,,,Male,Female,Total,Prevalence,Number Treated,Trachoma Treatment Coverage,Estimated Trachoma Treatment Coverage,Trachoma,Trachoma,Trachoma,Azithromycin,,Trachoma,Azithromycin
,,,,,,,,30.62%,44.75%,Male,Female,Total,Original,Estimated,1 if Endemic,"136,326.28"
Afghanistan,EMR,"33,736,494",1019.664192,1949.338667,2969.002859,,,,11.57%,0.04%,0.08%,0.06%,,68.53%,1,255.618598
Albania,EUR,"2,880,703",0,0,0,,,,44.75%,0.00%,0.00%,0.00%,,89.58%,0,0
Algeria,AFR,"39,871,528",111.9742145,152.5527312,264.5269457,5392,4614,85.57%,85.57%,0.00%,0.01%,0.01%,,85.83%,1,731.7565672
American Samoa,WPR,"55,537",0.066019579,0.119474104,0.185493684,,,,31.22%,0.00%,0.00%,0.00%,,78.95%,0,0
Andorra,EUR,"78,014",0,0,0,,,,44.75%,0.00%,0.00%,0.00%,,89.58%,0,0
Angola,AFR,"27,859,305",0,0,0,0,72,,38.36%,0.00%,0.00%,0.00%,,85.83%,0,0
Anguilla,AMR,"14,723",0,0,0,,,,4.12%,0.00%,0.00%,0.00%,,78.95%,0,0
Antigua and Barbuda,AMR,"99,923",0,0,0,,,,4.12%,0.00%,0.00%,0.00%,,78.95%,0,0
Argentina,AMR,"43,417,765",0,0,0,,,,4.12%,0.00%,0.00%,0.00%,,78.95%,0,0
Armenia,EUR,"2,916,950",0,0,0,,,,44.75%,0.00%,0.00%,0.00%,,89.58%,0,0
Aruba,AMR,"104,341",0,0,0,,,,4.12%,0.00%,0.00%,0.00%,,78.95%,0,0
Australia,WPR,"23,789,338",0.991916222,1.375664115,2.367580337,20123,"9,202.00",45.73%,45.73%,0.00%,0.00%,0.00%,,78.95%,1,1.337832839
Austria,EUR,"8,633,169",0,0,0,,,,44.75%,0.00%,0.00%,0.00%,,89.58%,0,0
Azerbaijan,EUR,"9,649,341",0,0,0,,,,44.75%,0.00%,0.00%,0.00%,,89.58%,0,0
Bahamas,AMR,"386,838",0,0,0,,,,4.12%,0.00%,0.00%,0.00%,,78.95%,0,0
Bahrain,EMR,"1,371,855",0,0,0,,,,11.57%,0.00%,0.00%,0.00%,,68.53%,0,0
Bangladesh,SEA,"161,200,886",0,0,0,,,,44.75%,0.00%,0.00%,0.00%,,78.95%,0,0
Barbados,AMR,"284,217",0,0,0,,,,4.12%,0.00%,0.00%,0.00%,,78.95%,0,0
Belarus,EUR,"9,489,616",0,0,0,,,,44.75%,0.00%,0.00%,0.00%,,89.58%,0,0
Belgium,EUR,"11,274,196",0,0,0,,,,44.75%,0.00%,0.00%,0.00%,,89.58%,0,0
Belize,AMR,"359,288",0,0,0,,,,4.12%,0.00%,0.00%,0.00%,,78.95%,0,0
Benin,AFR,"10,575,952",117.8456098,244.6410255,362.4866353,1112343,1083924,97.45%,97.45%,0.03%,0.05%,0.04%,,85.83%,1,1853.255598
Bermuda,AMR,"65,235",0,0,0,,,,4.12%,0.00%,0.00%,0.00%,,78.95%,0,0
Bhutan,SEA,"787,386",0,0,0,,,,44.75%,0.00%,0.00%,0.00%,,78.95%,0,0
Bolivia,AMR,"10,724,705",0,0,0,,,,4.12%,0.00%,0.00%,0.00%,,78.95%,0,0
"Bonaire, Saint Eustatius and Saba",AMR,,0,0,0,,,,4.12%,0.00%,0.00%,0.00%,,78.95%,0,0
Bosnia and Herzegovina,EUR,"3,535,961",0,0,0,,,,44.75%,0.00%,0.00%,0.00%,,89.58%,0,0
Botswana,AFR,"2,209,197",0,0,0,,,,38.36%,0.00%,0.00%,0.00%,,85.83%,0,0
Brazil,AMR,"205,962,108",83.77337361,24.13,107.9,4943337,32150,0.65%,0.65%,0.00%,0.00%,0.00%,,78.95%,1,0.5569239435
British Virgin Islands,AMR,"30,113",0,0,0,,,,4.12%,0.00%,0.00%,0.00%,,78.95%,0,0
Brunei Darussalam,WPR,"417,542",0,0,0,,,,31.22%,0.00%,0.00%,0.00%,,78.95%,0,0
