Country,WHO Region,Population,Trachoma DALYs,,,Trachoma Treatment Coverage,,,,Prevalence %,,,Trachoma Efficacy,,Treatment Guidelines,Impact
,,,Male,Female,Total,Prevalence,Number Treated,Trachoma Treatment Coverage,Estimated Trachoma Treatment Coverage,Trachoma,Trachoma,Trachoma,Azithromycin,,Trachoma,Azithromycin
,,,,,,,,30.62%,44.75%,Male,Female,Total,Original,Estimated,1 if Endemic,"137,734.51"
Georgia,EUR,"3,717,100",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Germany,EUR,"81,686,611",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Ghana,AFR,"27,582,821",75.45574757,108.3591528,183.8149003,0,0,,38.36%,0.000048661252,0.00007224210773,0.00006074733779,,85.83%,0,0
Greece,EUR,"10,820,883",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Greenland,EUR,56114,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Grenada,AMR,"106,823",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Guam,WPR,"161,797",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Guatemala,AMR,"16,252,429",18.87638168,54.2528279,73.12920958,116582,521,0.45%,0.45%,0.00003364384487,0.0001171719529,0.00007718241512,,78.95%,1,0.2589452203
Guinea,AFR,"12,091,533",196.7675287,268.7871459,465.5546747,3531049,3229420,91.46%,91.46%,0.0004484252372,0.0006414377632,0.0005485073496,0.953,95.30%,1,3160.060243
Guinea-Bissau,AFR,"1,770,526",9.468447381,21.29793907,30.76638645,407686,347855,85.32%,85.32%,0.000179915223,0.0003528118778,0.0002691622279,,85.83%,1,84.19074248
Guyana,AMR,"768,514",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Haiti,AMR,"10,711,061",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Honduras,AMR,"8,960,829",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Hungary,EUR,"9,843,028",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Iceland,EUR,"330,815",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
India,SEA,"1,309,053,980","35,746.71","27,103.06","62,849.77",0,2,,44.75%,0.0004694032393,0.0004115354568,0.0004410696383,,78.95%,1,34341.42577
Indonesia,SEA,"258,162,113",0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
Iran,EMR,"79,360,487",92.71898033,234.943227,327.6622073,0,0,,11.57%,0.00001692652931,0.00005740885526,0.00003722006769,,68.53%,0,0
Iraq,EMR,"36,115,649",118.6413963,169.9900004,288.6313967,0,0,,11.57%,0.00005187011015,0.00008432769144,0.00006801121151,,68.53%,0,0
Ireland,EUR,"4,676,835",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Israel,EUR,"8,380,100",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Italy,EUR,"60,730,582",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Jamaica,AMR,"2,871,934",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Japan,WPR,"127,141,000",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Jordan,EMR,"9,159,302",0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Kazakhstan,EUR,"17,544,126",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Kenya,AFR,"47,236,259",118.5956449,176.1252331,294.720878,3325855,395962,11.91%,11.91%,0.00004119539189,0.00006163066239,0.0000515774647,,85.83%,1,33.54535466
Kiribati,WPR,"112,407",0.714085896,1.461721415,2.175807311,120007,"87,402",72.83%,72.83%,0.0001687735184,0.0003242860325,0.0002482783068,,78.95%,1,2.944100667
Kuwait,EMR,"3,935,794",0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Kyrgyzstan,EUR,"5,956,900",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Lao People's Democratic Republic,WPR,"6,663,967",24.00851168,66.25247171,90.26098339,0,0,,31.22%,0.00007514214255,0.0001686704716,0.0001221922876,,78.95%,0,0
Latvia,EUR,"1,977,527",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Lebanon,EMR,"5,851,479",0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Lesotho,AFR,"2,174,645",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Liberia,AFR,"4,499,621",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Libya,EMR,"6,234,955",11.33926859,15.40102869,26.74029727,,,,11.57%,0.00005255612762,0.00008199092472,0.00006703701342,,68.53%,0,0
Lithuania,EUR,"2,904,910",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Luxembourg,EUR,"569,604",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Madagascar,AFR,"24,234,088",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Malawi,AFR,"17,573,607",31.76748351,28.65119684,60.41868035,1357904,"1,216,356",89.58%,89.58%,0.00005023969721,0.00002407534578,0.00003670704317,,85.83%,1,200.9763194
Malaysia,WPR,"30,723,155",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Maldives,SEA,"409,163",0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
Mali,AFR,"17,467,905",409.7326184,575.7133677,985.4459861,63394900,0,0.00%,38.36%,0.0008097688741,0.001197486138,0.001005572768,,85.83%,1,483.7144223
Malta,EUR,"431,874",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Marshall Islands,WPR,"52,994",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Mauritania,AFR,"4,182,341",24.21805827,27.76437425,51.98243252,337405,0,0.00%,38.36%,0.0001065997548,0.0001252759867,0.0001161550724,,85.83%,1,25.51601272
Mauritius,AFR,"1,262,605",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Mexico,AMR,"125,890,949",133.6722159,444.52,578.1920727,0,0,,4.12%,0.00003028116128,0.0001380492601,0.00008656730459,,78.95%,0,0
Micronesia (Federated States of),WPR,"104,433",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Monaco,EUR,"38,307",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Mongolia,WPR,"2,976,877",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Montenegro,EUR,"622,159",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Montserrat,AMR,"5,012",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Morocco,EMR,"34,803,322",238.2161519,355.6818757,593.8980276,0,0,,11.57%,0.0002396724157,0.0003311384192,0.0002863217886,,68.53%,0,0
Mozambique,AFR,"28,010,691",92.58,81.07,173.65,"4,395,204.00",0,0.00%,38.36%,0.00006156462574,0.00007543067685,0.00006878142993,,85.83%,1,85.23836507
Myanmar,SEA,"52,403,669",922.47,1959.741455,"2,882.21",0,0,,44.75%,0.0002356954356,0.0004772182239,0.0003610214002,,78.95%,0,0
Namibia,AFR,"2,425,561",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Nauru,WPR,"12,475",0.01247131,0.021694374,0.034165684,,,,31.22%,0.00002900433373,0.00004939153374,0.00003918538941,,78.95%,1,0.01117800318
Nepal,SEA,"28,656,282",135.9001599,202.74,338.64,0,0,,44.75%,0.0001093176824,0.000135209694,0.0001226980507,,78.95%,0,0
Netherlands,EUR,"16,939,923",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
New Caledonia,WPR,"273,000",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
New Zealand,WPR,"4,595,700",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Nicaragua,AMR,"6,082,035",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Niger,AFR,"19,896,965",1914.131861,2412.542962,4326.674822,7846331,2151297,27.42%,27.42%,0.004422595922,0.005541782551,0.004987738835,,85.83%,1,1331.599904
Nigeria,AFR,"181,181,744",8051.169258,8749.719919,16800.88918,19868226,6034667,30.37%,30.37%,0.001150062221,0.001343221281,0.001247547724,,85.83%,1,5924.681259
Niue,WPR,,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Northern Mariana Islands,WPR,"54,816",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Norway,EUR,"5,188,607",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Oman,EMR,"4,199,810",1.53E+02,166.5503381,3.19E+02,0,0,,11.57%,0.001373041184,0.002370705071,0.001795467625,,68.53%,0,0.00E+00
Pakistan,EMR,"189,380,513",13992.07555,14171.28848,28163.36403,3177676,1451130,45.67%,45.67%,0.0009525537696,0.00103521948,0.0009928939826,0.953,95.30%,1,21701.01281
Palau,WPR,"21,288",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Panama,AMR,"3,969,249",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Papua New Guinea,WPR,"7,919,825",206.4124642,269.3923945,475.8048587,1158540,0,0.00%,31.22%,0.0007894406048,0.001092802322,0.0009362829868,,78.95%,1,155.6693032
Paraguay,AMR,"6,639,119",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Peru,AMR,"31,376,671",6.276359876,6.432981522,12.7093414,146950,0,0.00%,4.12%,0.000003111652566,0.000003262925246,0.000003188262477,,78.95%,1,0.4274329488
Philippines,WPR,"101,716,359",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Poland,EUR,"37,986,412",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Portugal,EUR,"10,358,076",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Puerto Rico,AMR,"3,473,181",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Qatar,EMR,"2,481,539",0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Republic of Korea,WPR,"51,014,947",0,0.00E+00,0.00E+00,,,,31.22%,0,0,0,,78.95%,0,0.00E+00
Republic of Moldova,EUR,"3,554,108",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Romania,EUR,"19,815,481",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Russia,EUR,"144,096,870",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Rwanda,AFR,"11,629,553",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Saint Kitts and Nevis,AMR,"54,288",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Saint Lucia,AMR,"177,206",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Saint Vincent and the Grenadines,AMR,"109,455",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Samoa,WPR,193759,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
San Marino,EUR,32960,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Sao Tome and Principe,AFR,195553,0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Saudi Arabia,EMR,31557144,0,0,0,,,,11.57%,0,0,0,0.633,63.30%,0,0
Senegal,AFR,14976994,55.17116985,98.90363995,154.0748098,152175200,1058940,0.70%,0.70%,0.0001288174829,0.0002198577231,0.0001747027076,,85.83%,1,0.9257993164
Serbia,EUR,7095383,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Seychelles,AFR,93419,0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Sierra Leone,AFR,7237025,0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Singapore,WPR,5535002,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Sint Maarten (Dutch part),AMR,38824,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Slovakia,EUR,5423801,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Slovenia,EUR,2063531,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Solomon Islands,WPR,587482,6.243446599,9.056073008,15.29951961,530022,0,0.00%,31.22%,0.0003365438026,0.0005160852895,0.0004244670672,,78.95%,1,5.00555115
Somalia,EMR,13908129,1986.738905,"2,568.01",4554.752453,,,,11.57%,0.004097033366,0.005809404618,0.004940478986,,68.53%,0,0
South Africa,AFR,55011976.68,0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
South Sudan,AFR,11882136,898.512112,955.2285892,1853.740701,203740300,104217,0.05%,0.05%,0.002066635912,0.001321039852,0.001703583304,,85.83%,1,0.814249144
Spain,EUR,46447697,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Sri Lanka,SEA,20966000,0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
Sudan,EMR,38647803,387.096676,118.7419142,505.8385902,406762000,2443261,0.60%,0.60%,0.0001468244694,0.00004623945163,0.00009656956245,,68.53%,1,2.090907301
Suriname,AMR,553208,0.00E+00,0.00E+00,0.00E+00,,,,4.12%,0,0,0,,78.95%,0,0.00E+00
Swaziland,AFR,1319011,0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Sweden,EUR,9799186,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Switzerland,EUR,8282396,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Syrian Arab Republic,EMR,18734987,0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Tajikistan,EUR,8548651,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Tanzania,AFR,53879957,230.0578689,242.25,472.31,3216046,2651671,82.45%,82.45%,0.00006568485287,0.00006476122637,0.00006520925512,0.792,79.20%,0,0
Thailand,SEA,68657600,0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
The former Yugoslav Republic of Macedonia,EUR,2079308,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Timor-Leste,SEA,1240977,0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
Togo,AFR,7416802,90.28744335,86.45867519,176.7461185,0,0,,38.36%,0.0002039104882,0.0002227584758,0.0002135796287,,85.83%,0,0
Tokelau,WPR,,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Tonga,WPR,106364,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Trinidad and Tobago,AMR,1360092,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Tunisia,EMR,11273661,0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Turkey,EUR,78271472,0,0,0,,,,44.75%,0,0,0,0.8958,89.58%,0,0
Turkmenistan,EUR,5565284,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Turks and Caicos Islands,AMR,34339,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Tuvalu,WPR,11001,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Uganda,AFR,40144870,35.18013854,224.2450338,259.4251723,58942100,"485,774.00",0.82%,0.82%,0.00001690258473,0.0002154079123,0.0001186259289,,85.83%,1,1.848246396
Ukraine,EUR,45154029,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
United Arab Emirates,EMR,9154302,0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
United Kingdom of Great Britain and Northern Ireland,EUR,65128861,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
United States,AMR,320896618,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Uruguay,AMR,3431552,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
US Virgin Islands,AMR,103574,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Uzbekistan,EUR,31298900,0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Vanuatu,WPR,264603,0.43000443,0.700535032,1.130539462,277708,0,0.00%,31.22%,0.00004310490521,0.00007179136559,0.0000573120692,,78.95%,1,0.3698791366
Venezuela,AMR,31155134,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Viet Nam,WPR,91713300,600.4325143,1254.464135,1854.896649,"3,712.00",3712,100.00%,100.00%,0.0001897504944,0.0003575847344,0.0002754832453,,78.95%,1,6958.758349
Wallis and Futuna Islands,WPR,,0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
West Bank and Gaza Strip,EMR,4422143,0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Yemen,EMR,26916207,202.7625545,263.1193672,465.8819217,1455523,0,0.00%,11.57%,0.0001547570654,0.0002249836045,0.000189742905,,68.53%,1,40.11046447
Zambia,AFR,16100587,96.81137919,42.34718413,139.1585633,459753600,2795580,0.61%,0.61%,0.000093056807,0.00003968519737,0.00006592875354,,85.83%,1,0.730104963
Zimbabwe,AFR,15777451,86.21895034,207.49,293.71,166015900,0,0.00%,38.36%,0.00008857136508,0.0001950216343,0.0001444165696,,85.83%,1,144.1714024
