Country,WHO Region,Population,LF DALYs,SCHIST DALYs,Whipworm DALYs,Unnamed: 6,Unnamed: 7,Hookworm DALYs,Unnamed: 9,Unnamed: 10,Roundworm DALYs,Unnamed: 12,Unnamed: 13,ONCH DALYs,LF Treatment Coverage,Unnamed: 16,Unnamed: 17,Unnamed: 18,SCHIST Treatment Coverage,Unnamed: 20,STH,Unnamed: 22,Unnamed: 23,Unnamed: 24,ONCH Treatment Coverage,Unnamed: 26,Unnamed: 27,Unnamed: 28,Prevalence (%),Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,LF Efficacy,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Schist Efficay,Unnamed: 46,Whipworm Efficacy,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Hookworm Efficacy,Unnamed: 54,Unnamed: 55,Unnamed: 56,Roundworm Efficacy,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,ONCH Efficacy,Unnamed: 64,Treatment Guidelines,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Impact of  LF,Unnamed: 75,Impact of Schist,Impact of Whipworm,Unnamed: 78,Unnamed: 79,Impact of Hookworm,Unnamed: 81,Impact of Roundworm,Unnamed: 83,Unnamed: 84,Impact of Onch
,,,Total DALYs,Total DALYs,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Total DALYs,Prevalence,Number Treated,LF Treatment Coverage,Estimated LF Treatment Coverage,SCHIST Treatment Coverage,Estimated Schist Treatment Coverage,STH Pre-SAC Treatment Coverage,Estimated STH Pre-SAC Treatment Coverage,STH SAC Treatment Coverage,Estimated STH SAC Treatment Coverage,Number of People Needing Treatment for ONCH,Number of People Treated for ONCH,ONCH Treatment Coverage,Estimated ONCH Treatment Coverage,LF,SCHIST All Ages,SCHIST SAC,Whipworm,Whipworm,Hookworm,Hookworm,Roundworm,Roundworm,ONCH,*Single Dose of DEC (6mg/kg) (Updated),Estimated Efficacy,*Single dose of DEC (6mg/kg)+ALB(4a00mg) (Updated),Estimated Efficacy,*Combination of ALB(400mg)+IVM(400ug/kg) (Updated),Estimated Efficay,PZQ,,Alb,,Mbd,,Ivm+Alb,,ALB,,Mbd,,Alb,,Mbd,,Ivm+Alb,,IVM,IVM,LF,ONCH,SCHIST,STH Level,Coding,MDA type,Treatment Part 1,Treatment Part 2,Diseases Targeted by the MDA,DEC+ALB,IVM+ALB,PZQ,ALB,MBD,IVM+ALB,ALB,MBD,ALB,MBD,IVM+ALB,IVM
,,,,,,,,,,,,,,,,,38.06%,57.09%,Global Average,47.92%,Global Average,71.16%,Global Average,65.01%,,,Global Average,68.90%,,,5-14 years,1-4 years,5-14 years,1-4 years,5-14 years,1-4 years,5-14years,,,,,,,,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,1 if endemic,1 if endemic,1 if endemic,"2 if high, 1 if low",,,,,,490.78,"4,477.28",0.00,"4,698.13","1,850.99","4,172.44","26,024.23","3,357.95","167,338.19","3,844.00","69,289.96","2,790.64"
Canada,AMR,"35,848,610",0,0,0,0,0,0,0,0,0,0,0,0,,,,35.66%,,47.92%,,68.50%,,75.51%,,,,71.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Cape Verde,AFR,"532,913",0,0,0.000592407,0.001182189,0.001774596,0.40787513,0.40678343,0.814658554,0.31834501,0.056164558,0.374509568,0,,,,33.45%,,42.20%,,80.85%,,59.38%,,,,63.75%,0.00%,0.00%,0.00%,0.69%,0.90%,0.12%,0.12%,0.00%,0.00%,0.00%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Cayman Islands,AMR,"59,963",0,0,,,0,0,0,0,,,0,0,,,,35.66%,,47.92%,,68.50%,,75.51%,,,,71.01%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,0,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Central African Republic,AFR,"4,546,100",10171.4,3989.954587,7.90783964,33.31154508,41.21938472,638.393742,"1,692.44",2330.830405,5431.791929,749.7504526,6181.542382,21207.74832,"3,300,000",,0.00%,33.45%,,42.20%,92.33%,92.33%,,59.38%,"2,256,621.00",No data,,63.75%,8.12%,7.00%,1.34%,6.41%,10.12%,17.80%,28.92%,8.98%,14.15%,6.17%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,90.19125424,2268.778,,,,,,,,,50.16443992
Chad,AFR,"14,009,413",14699.6,31018.12042,0.042433887,0.212462977,0.25,"1,409.19","3,667.55","5,076.74","5,421.24",568.8585882,5990.097776,11683.5267,"3,181,835",,0.00%,33.45%,,42.20%,,80.85%,,59.38%,"3,819,804.00","2,128,235.00",55.72%,55.72%,2.38%,25.00%,7.01%,1.13%,1.80%,11.49%,18.64%,1.18%,1.88%,1.31%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,38.20411447,17637.602,,,,,,,,,4.478676612
Chile,AMR,"17,762,681",0,0,1.611009946,9.598344496,11.20935444,0.06888809,0.03515977,0.104047853,79.69435867,227.8947931,307.5891518,0,,,,35.66%,,47.92%,,68.50%,,75.51%,,,,71.01%,0.00%,0.00%,0.00%,4.49%,6.12%,0.00%,0.00%,11.05%,14.96%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
China,WPR,"1,371,220,000",0,24057.89088,225.7926677,"1,674.60","1,900.39","7,744.80","21,768.44","29,513.24","2,031.25","4,496.09",6527.337569,0,,,,37.84%,98.10%,98.10%,,61.41%,,60.18%,,,,68.90%,0.00%,0.00%,0.01%,4.13%,6.39%,2.69%,4.26%,5.30%,8.48%,0.00%,,50.00%,,66.20%,,37.15%,,96.1%,42.35%,42.35%,55.20%,55.20%,,65.10%,75.08%,75.08%,44.75%,44.75%,96.45%,96.45%,93.05%,93.05%,,84.80%,,78.08%,0,1,1,0,0110,MDA3+T2,IVM,PZQ,onch+schist,,,396101.226,,,,,,,,,0
"China, Hong Kong SAR",WPR,"7,305,700",0,0,,,0,0,0,0,,,0,0,,,,37.84%,,73.97%,,61.41%,,60.18%,,,,68.90%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,0,0.00%,,50.00%,,66.20%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,57.69%,,31.45%,,96.93%,,93.05%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
"China, Macao SAR",WPR,"600,942",0,0,,,0,0,0,0,,,0,0,,,,37.84%,,73.97%,,61.41%,,60.18%,,,,68.90%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,0,0.00%,,50.00%,,66.20%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,57.69%,,31.45%,,96.93%,,93.05%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Colombia,AMR,"48,228,697",0,0,268.352933,"1,495.76",1764.110853,870.342066,"4,132.71","5,003.05","1,596.93","4,156.52",5753.445417,0,,,,35.66%,,47.92%,2.13%,2.13%,16.81%,16.81%,Elimination verified,,,71.01%,0.00%,0.00%,0.00%,0.00%,24.15%,0.00%,11.33%,0.00%,33.05%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,1,0001,T3,ALB or MBD,,sth only,,,,25.6601921,40.5263042,,80.07815554,13.93742123,273.0042765,203.9516477,,
Comoros,AFR,"777,424",1132.08,0,29.22907769,147.6713529,176.9004306,51.7111555,167.900155,219.6113103,62.9656304,63.98726115,126.9528916,0,"514,110",,0.00%,33.45%,,42.20%,,80.85%,,59.38%,,,,63.75%,3.20%,0.00%,0.00%,25.96%,39.37%,12.10%,19.04%,16.94%,26.31%,0.00%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,0,0,1,1001,MDA1/2,IVM+ALB or DEC+ALB,,lf+sth,5.596022291,3.955986126,,20.42313443,,27.30430667,48.99183195,,48.92207308,,25.58492815,
Congo,AFR,"4,995,648",3770.31,9332.806296,147.8403056,605.7369364,753.577242,373.290347,967.52,1340.809931,1011.78068,977.6461831,1989.426863,1475.191709,"984,485","103,778",10.54%,10.54%,54.90%,54.90%,,80.85%,47.46%,47.46%,"518,120.00","402,635.00",77.71%,77.71%,2.18%,23.00%,4.17%,21.94%,34.05%,12.53%,19.89%,25.30%,38.92%,0.46%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,1,1,1,1111,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist+sth,,2.631635049,8329.282,60.0945691,,79.49983923,246.1970783,,990.2068968,,517.066039,0.423841299
Cook Islands,WPR,"18,800",0,0,,,0,0,0,0,,,0,0,,,,37.84%,,73.97%,,61.41%,,60.18%,,,,68.90%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,0,0.00%,,50.00%,,66.20%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,57.69%,,31.45%,,96.93%,,93.05%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Costa Rica,AMR,"4,807,852",0,0,3.045440432,20.03584565,23.08128608,53.444261,271.064263,324.5085243,51.78628206,122.8828065,174.6690886,0,,,,35.66%,,47.92%,,68.50%,,75.51%,,,,71.01%,0.00%,0.00%,0.00%,8.67%,12.91%,5.83%,8.69%,15.09%,21.91%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Cote d'Ivoire,AFR,"23,108,472",32980.45,70711.53154,62.43536008,274.468742,336.9041021,0,0.00,"6,646.48","7,820.00",1785.24879,9605.244933,0,"17,848,457","5,900,569",33.06%,33.06%,10.80%,10.80%,100.00%,100.00%,47.54%,47.54%,"3,096,711.00","2,107,463.00",68.05%,68.05%,2.98%,33.00%,13.63%,0.00%,12.74%,0.00%,19.10%,0.00%,11.68%,0.00%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,105.9327254,7230.873,,,,,,,,,0
Croatia,EUR,"4,203,604",0,0,0,0,0,0,0,0,0,0,0,0,,,,57.09%,,47.92%,,2.23%,,59.83%,,,,68.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Cuba,AMR,"11,461,432",0,0,3.643385882,19.26144016,22.90482605,183.695998,692.42,876.1192321,129.7387026,445.766593,575.5052955,0,,,,35.66%,,47.92%,,68.50%,,75.51%,,,,71.01%,0.00%,0.00%,0.00%,4.69%,7.21%,7.74%,12.32%,10.89%,16.69%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,76.90%,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Curacao,AMR,"157,979",0,0,,,0,0,0,0,,,0,0,,,,35.66%,,47.92%,,68.50%,,75.51%,,,,71.01%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,0,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Cyprus,EUR,"1,160,985",0,0,0,0,0,0,0,0,0,0,0,0,,,,57.09%,,47.92%,,2.23%,,59.83%,,,,68.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Czech Republic,EUR,"10,546,059",0,0,0,0,0,0,0,0,0,0,0,0,,,,57.09%,,47.92%,,2.23%,,59.83%,,,,68.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Democratic People's Republic of Korea,SEA,"25,243,917",0,0,,,0.00021494,0,0,0.312704401,300.3162867,298.8299239,599.1462106,0,,,,71.02%,,25.82%,99.06%,99.06%,98.69%,98.69%,,,,68.90%,0.00%,0.00%,0.00%,0.00%,0.40%,0.00%,0.00%,0.00%,13.74%,0.00%,,47.82%,,58.32%,,14.00%,,94.9%,,53.94%,,37.87%,,59.76%,,71.33%,,20.50%,,83.00%,,100.00%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Democratic Republic of the Congo,AFR,"76,196,619",25394.71,191509.6574,961.1863286,"3,718.39","4,679.57","7,147.54","18,371.79","25,519.33","54,462.79","15,013.92",69476.70638,475864.947,"37,012,273","11,288,740",30.50%,30.50%,12.00%,12.00%,100.00%,100.00%,24.32%,24.32%,"40,348,952.00","29,751,168.00",73.73%,73.73%,0.56%,29.00%,8.69%,13.61%,21.28%,12.40%,19.77%,18.06%,27.58%,9.97%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,1,1,1,1111,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist+sth,,14.0244653,22009.561,161.6952101,,219.3799362,6901.443671,,"96,721.00",,"23,363.04",2565.703687
Denmark,EUR,"5,683,483",0,0,0,0,0,0,0,0,0,0,0,0,,,,57.09%,,47.92%,,2.23%,,59.83%,,,,68.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Djibouti,EMR,"927,414",0,372.4059973,20.32173252,43.05436266,63.37609518,15.3570115,24.9894296,40.34644113,32.44193368,4.011535342,36.45346902,0,,,,57.09%,,73.90%,100.00%,100.00%,,53.01%,,,,40.14%,0.00%,1.00%,0.12%,16.50%,26.01%,2.68%,4.36%,3.48%,5.51%,0.00%,,37.13%,,79.35%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,95.50%,,100.00%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Dominica,AMR,"73,162",0,0,0,0,0,0.00299999,0.00333794,0.006337934,0.067259711,0.040832802,0.108092513,0,,,,35.66%,,47.92%,,68.50%,,75.51%,,,,71.01%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Dominican Republic,AMR,"10,528,394",126.9,1311.967583,0,0,0,0.0596633,0.08361119,0.143274489,12.39065339,6.612540828,19.00319422,0.00E+00,"63,798",,0.00%,35.66%,,47.92%,100.00%,100.00%,100.00%,100.00%,,,,71.01%,0.02%,1.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,1,0,0,0,1000,MDA1/2,IVM+ALB or DEC+ALB,,lf only,0.003577829678,0.009392137422,,,,,,,,,,
Ecuador,AMR,"16,144,368",0,0,391.9812351,"1,026.58",1418.556745,90.3389004,164.760835,255.0997351,1004.696793,1041.277132,2045.973925,1.87E-78,,,,35.66%,,47.92%,,68.50%,,75.51%,Elimination verified,nonendemic,,71.01%,0.00%,0.00%,0.00%,0.00%,25.77%,0.00%,1.70%,0.00%,25.74%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,1,0,0010,T2,PZQ,PZQ,schist only,,,0.0,,,,,,,,,
Egypt,EMR,"93,778,172",530.64,"41,739.08",0.210233858,1.056832495,1.267066353,482.906311,"1,245.44",1728.349241,163.7145569,248.7306132,412.4451701,0,,,,57.09%,94.70%,94.70%,,99.33%,,53.01%,,,,40.14%,0.01%,4.00%,1.08%,0.18%,0.26%,1.29%,1.89%,1.89%,2.74%,0.00%,,37.13%,79.35%,79.35%,,37.15%,,88.20%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,95.50%,,100.00%,,84.80%,,78.08%,0,1,1,0,0110,MDA3+T2,IVM,PZQ,onch+schist,,,211615.053,,,,,,,,,0
El Salvador,AMR,"6,312,478",0,0,5.901560691,0.098702189,6.00026288,91.7179767,26.6256616,118.3436383,23.03565998,10.77028882,33.80594879,0,,,,35.66%,,47.92%,,68.50%,46.38%,46.38%,,,,71.01%,0.00%,0.00%,0.00%,0.00%,1.64%,0.00%,0.82%,0.00%,0.61%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Equatorial Guinea,AFR,"1,175,389",1203.04,606.81075,21.77786523,114.8503739,136.6282391,42.515637,134.39593,176.9115665,127.9550761,262.9196172,390.8746933,1315.428545,"420,000",,0.00%,33.45%,,42.20%,,80.85%,,59.38%,"95,067.00",No data,,63.75%,3.33%,10.00%,1.86%,22.08%,34.54%,10.73%,17.16%,30.36%,46.65%,3.06%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,1,1,1,1111,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist+sth,,4.374737154,345.046,13.77164988,,18.40435466,35.45447702,,249.7193761,,136.3906477,1.543138587
Eritrea,AFR,,190.77,4152.537126,7.152710347,31.35676551,38.50947586,35.158107,81.9615385,117.1196455,427.9283778,73.83176487,501.7601426,0,"69,634",,0.00%,33.45%,15.30%,15.30%,,80.85%,,59.38%,,,,63.75%,0.09%,4.00%,0.70%,8.30%,13.15%,1.42%,2.29%,3.54%,5.61%,0.00%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,0.01874909254,628.336,,,,,,,,,0
Estonia,EUR,"1,315,407",0,0,0,0,0,0,0,0,0.008220386,0.005013241,0.013233626,0,,,,57.09%,,47.92%,,2.23%,,59.83%,,,,68.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Ethiopia,AFR,"99,873,033",1168.19,"210,340.92",907.6418037,"4,058.44","4,966.08","3,684.05","11,116.41","14,800.46","10,972.55","5,968.73",16941.282,25148.53082,"11,113,047","3,287,346",29.58%,29.58%,28.80%,28.80%,60.57%,60.57%,51.58%,51.58%,"16,570,870.00","10,643,027.00",64.23%,64.23%,0.02%,23.00%,10.07%,13.34%,20.82%,7.05%,11.31%,12.41%,19.06%,0.36%,,31.23%,,40.00%,,29.43%,,97%,17.10%,17.10%,43.70%,43.70%,,47.18%,,86.99%,,70.92%,88.20%,88.20%,93.33%,93.33%,,69.60%,81.00%,81.00%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,0.02228037201,81539.797,,,,,,,,,3.272471917
Fiji,WPR,"892,149",106.91,0,1.540536003,19.22705699,20.76759299,39.5087131,204.751717,244.2604296,35.59279769,84.62530859,120.2181063,0,"55,340","51,032",92.22%,92.22%,,73.97%,4.99%,4.99%,8.64%,8.64%,,,,68.90%,0.17%,0.00%,0.00%,2.93%,5.40%,18.21%,27.24%,21.21%,31.50%,0.00%,,50.00%,,66.20%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,57.69%,,31.45%,,96.93%,,93.05%,,84.80%,,78.08%,1,0,0,1,1001,MDA1/2,IVM+ALB or DEC+ALB,,lf+sth,0.2848283505,0.09472013059,,0.03389415564,,0.06342246038,3.139464916,,2.820090585,,2.441089381,
Finland,EUR,"5,479,531",0,0,0,0,0,0,0,0,0,0,0,0,,,,57.09%,,47.92%,,2.23%,,59.83%,,,,68.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
France,EUR,"66,624,068",0,0,0,0,0,0,0,0,0,0,0,0,,,,57.09%,,47.92%,,2.23%,,59.83%,,,,68.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
French Polynesia,WPR,"277,690",0,0,,,0,0,0,0,,,0,0,"147,104","127,888",86.94%,86.94%,,73.97%,,61.41%,,60.18%,,,,68.90%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,0,0.00%,,50.00%,,66.20%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,57.69%,,31.45%,,96.93%,,93.05%,,84.80%,,78.08%,1,0,0,0,1000,MDA1/2,IVM+ALB or DEC+ALB,,lf only,0,0,,,,,,,,,,
Gabon,AFR,"1,930,175",1390.99,3248.372449,61.55500629,267.9073688,329.4623751,104.375942,287.443963,391.8199054,274.2500035,375.4249193,649.6749228,0,"1,290,600",,0.00%,33.45%,,42.20%,,80.85%,,59.38%,"74,550.00",No data,,63.75%,0.84%,21.00%,1.87%,24.01%,37.29%,10.80%,17.28%,26.49%,41.19%,0.00%,,31.23%,,40.00%,,29.43%,,85.9%,63.33%,63.33%,,48.59%,,47.18%,79.67%,79.67%,,70.92%,89.33%,89.33%,,84.83%,,69.60%,,83.90%,1,1,1,1,1111,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist+sth,,1.275942071,1847.098,75.72911766,,47.98957639,64.99726073,,363.6173174,,202.4147397,0
Gambia,AFR,"1,977,590",2245.69,6158.43778,0.040683217,0.168675242,0.209358459,0,0,117.0256372,102.1697578,13.69074624,115.860504,0,,,,33.45%,,42.20%,,80.85%,,59.38%,,,,63.75%,1.44%,37.00%,9.17%,0.00%,3.19%,0.00%,4.91%,0.00%,1.08%,0.00%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,0,1,1,0,0110,MDA3+T2,IVM,PZQ,onch+schist,,,3501.826,,,,,,,,,0
Georgia,EUR,"3,717,100",0,0,0,0,0,0.02029926,0.01401287,0.020299256,0.001600785,0.002505245,0.004106029,0,,,,57.09%,,47.92%,,2.23%,,59.83%,,,,68.90%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.41%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Germany,EUR,"81,686,611",0,0,0,0,0,0,0,0,0,0,0,0.00E+00,,,,57.09%,,47.92%,,2.23%,,59.83%,,,,68.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Ghana,AFR,"27,582,821",4746.4,35732.44445,0.619499381,2.636901427,3.256400808,380.14418,935.20,1315.346753,1738.226065,303.3467406,2041.572805,1.37E-78,"2,426,930","1,754,833",72.31%,72.31%,26.50%,26.50%,,80.85%,37.92%,37.92%,"3,995,382.00","3,416,583.00",85.51%,85.51%,0.26%,12.00%,3.50%,0.00%,3.20%,0.00%,5.08%,0.00%,4.82%,0.00%,,31.23%,,40.00%,39.46%,39.46%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,85.58%,85.58%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,4.927215278,10531.232,,,,,,,,,0
Greece,EUR,"10,820,883",0,0,0,0,0,0,0,0,0,0,0,0,,,,57.09%,,47.92%,,2.23%,,59.83%,,,,68.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
