Country,WHO Region,Population,LF DALYs,Schist DALYs,Whipworm DALYs,Unnamed: 6,Unnamed: 7,Hookworm DALYs,Unnamed: 9,Unnamed: 10,Roundworm DALYs,Unnamed: 12,Unnamed: 13,Unnamed: 14,LF Treatment Coverage,Unnamed: 16,Unnamed: 17,Unnamed: 18,SCHIST Treatment Coverage,Unnamed: 20,STH,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Prevalence (%),Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,LF Efficacy,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,SCHIST Efficacy,Unnamed: 46,Whipworm Efficacy,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Hookworm Efficacy,Unnamed: 54,Unnamed: 55,Unnamed: 56,Roundworm Efficacy,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Treatment Guidelines,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Impact of LF,Unnamed: 75,Impact of Schist,Impact of Whipworm,Unnamed: 78,Unnamed: 79,Impact of Hookworm,Unnamed: 81,Impact of Roundworm,Unnamed: 83,Unnamed: 84
,,,Total,Total DALYs,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,"Input to make model identical to 2013, 2015",Prevalence,Number Treated,LF Treatment Coverage,Estimated LF Treatment Coverage,SCHIST Treatment Coverage,Estimated Schist Treatment Coverage,STH Pre-SAC Treatment Coverage,14842.84%,STH SAC Treatment Coverage,10631.67%,"Input to make model identical to 2013, 2015","Input to make model identical to 2013, 2015","Input to make model identical to 2013, 2015","Input to make model identical to 2013, 2015",LF,SCHIST All Ages,SCHIST SAC,Whipworm,Whipworm,Hookworm,Hookworm,Roundworm,Roundworm,"This col was input to make placement of data identical to 2013, 2015 for SA",Single Dose of DEC (6mg/kg),Estimated Efficacy,Single dose of DEC (6mg/kg) + ALB(400mg),Estimated Efficacy,Combination of ALB (400mg) +IVM (400ug/kg),Estimated Efficacy,PZQ,,Alb,,Mbd,,Ivm+Alb,,Alb,,Mbd,,Alb,,Mbd,,Ivm+Alb,,"Input to make model identical to 2013, 2015","Input to make model identical to 2013, 2015",LF,ONCH,SCHIST,STH Level,Coding,MDA type,Treatment Part 1,Treatment Part 2,Diseases targeted by the MDA,DEC+ALB,IVM+ALB,PZQ,ALB,MBD,IVM+ALB,ALB,MBD,ALB,MBD,IVM+ALB
Libya,EMR,"6,169,140",0.00,"7,596.24",0.32809293,1.28247347,1.6105664,0.0259901,0.05239087,0.078380969,10.02669621,6.681175165,16.70787138,,,,,32.11%,,59.49%,,90.19%,,9.40%,,,,,0.00%,16.00%,2.13%,0.43%,0.63%,0.00%,0.00%,1.00%,0.93%,,,35.74%,,79.35%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,93.08%,,51.15%,,95.50%,,100.00%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Lithuania,EUR,"3,097,282",0.00,0.00,0,0,0,0,0,0,0.074419415,0.046493903,0.120913318,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Luxembourg,EUR,"506,953",0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,,,,40.13%,15.45%,15.45%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Madagascar,AFR,"21,151,640","24,192.62","39,064.34","1,520.01",5283.080639,"6,803.09",968.63,"2,376.20","3,344.83","17,778.59","9,203.66","26,982",,"18,602,379","6,868,762",36.92%,36.92%,,25.20%,27.31%,27.31%,36.41%,36.41%,,,,,3.10%,17.00%,6.56%,26.70%,41.55%,6.86%,11.04%,28.00%,43.89%,,,31.23%,,40.00%,,29.43%,,85.9%,,35.38%,,59.18%,,70.60%,,81.32%,,70.92%,,86.57%,,92.03%,,100.00%,,,1,1,1,1,1111,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist+sth,,91.43783835,10792.386,368.065135,,856.5161354,129.2874178,,3400.585666,,4183.347821
Malawi,AFR,"15,167,095","22,763.33","33,590.26",1.740156904,7.611882836,9.35203974,325.566479,770.014731,1095.58121,2757.525496,303.165997,"3,061",,"13,065,294","10,797,082",82.64%,82.64%,,25.20%,95.33%,95.33%,82.98%,82.98%,,,,,3.91%,22.00%,8.89%,0.00%,5.90%,0.00%,5.87%,3.00%,5.34%,,,31.23%,,40.00%,,29.43%,,97.40%,,35.38%,,59.18%,,70.60%,92.30%,92.30%,98.20%,98.20%,,86.57%,,92.03%,,100.00%,,,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,286.047183,10926.566,,,,,,,,
Malaysia,WPR,"28,112,289",113.74,0.00,175.39,592.61,767.99,"1,424.97","3,964.49","5,389.45","1,634.06","5,399.41","7,033",,"589,140",,0.00%,19.55%,,62.60%,,55.18%,,48.26%,,,,,0.00%,0.00%,0.00%,14.14%,14.97%,13.00%,20.58%,0.00%,43.05%,,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,87.14%,87.14%,58.30%,58.30%,97.40%,97.40%,,93.05%,,100.00%,,,1,0,0,1,1001,MDA1/2,DEC+ALB,,lf+sth,0,,,24.56007257,,,763.6778911,,2061.63595,,
Maldives,SEA,"367,000",0.00,0.00,0,0,0,0.00147885,0.00204691,0.003525756,0.077150388,0.028184115,0.105334503,,,,,38.43%,70.40%,70.40%,,32.51%,,37.79%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,47.82%,,58.32%,,14.00%,,94.9%,,47.57%,,37.87%,,71.77%,,78.57%,,43.90%,,100.00%,,100.00%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Mali,AFR,"15,075,085","37,387.63","34,798.01",0.019298712,0.096301271,0.12,614.60,"1,762.29",2376.887278,2857.305546,327.1752692,"3,184",,"15,039,794","10,046,835",66.80%,66.80%,,25.20%,0.14%,0.14%,91.22%,91.22%,,,,,0.00%,22.00%,6.88%,0.00%,1.66%,0.00%,9.91%,0.00%,0.63%,,,31.23%,,40.00%,,29.43%,,97.60%,,35.38%,,59.18%,,70.60%,83.80%,83.80%,37.15%,37.15%,,86.57%,,92.03%,,100.00%,,,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,0,11350.259,,,,,,,,
Malta,EUR,"414,508",0.00,0.00,0,0,0,0,0,0,0,0,0,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Marshall Islands,WPR,"52,425",0.00,0.00,0.044831583,0.320774375,0.365605957,6.56829803,16.4154243,22.98372231,1.038571686,0.389748005,1.428319691,,,,,19.55%,9.59%,9.59%,100.00%,100.00%,,48.26%,,,,,0.00%,0.00%,0.00%,0.00%,5.34%,0.00%,23.72%,0.00%,5.79%,,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,,46.05%,,96.93%,,93.05%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Mauritania,AFR,"3,609,543",83.40,"6,803.15",0.40,1.98,2.39,23.14,74.00,97.14,97.21,16.97,114.1847808,,,,,17.16%,,25.20%,,72.67%,,43.42%,,,,,0.00%,22.00%,6.83%,0.00%,3.32%,0.00%,3.01%,0.00%,0.82%,,,31.23%,,40.00%,,29.43%,,89.20%,,35.38%,,59.18%,,70.60%,,81.32%,,70.92%,,86.57%,,92.03%,,100.00%,,,0,1,1,0,0110,MDA3+T2,IVM,PZQ,onch+schist,,,1972.662,,,,,,,,
Mauritius,AFR,"1,250,400",0.00,"1,152.40",0,0.00,0.00,0.00,0.01,0.01,0.39,0.18,0.575718273,,,,,17.16%,,25.20%,,72.67%,,43.42%,,,,,0.00%,7.00%,0.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,31.23%,,40.00%,,29.43%,,85.9%,,35.38%,,59.18%,,70.60%,,81.32%,,70.92%,,86.57%,,92.03%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Mexico,AMR,"117,318,941",0.00,0.00,"1,022.71","5,420.23",6442.944467,6.82935764,20.12,26.95,"1,812.24","3,578.63",5390.868746,,,,,14.55%,,39.44%,100.00%,100.00%,100.00%,100.00%,,,,,0.00%,0.00%,0.00%,0.00%,17.48%,0.00%,0.01%,0.00%,15.72%,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Micronesia (Federated States of),WPR,"103,616",25.07,0.00,,,0.422888554,0,0,10.84327969,5.945326265,16.67576151,23,,"11,241",,0.00%,19.55%,,62.60%,,55.18%,,48.26%,,,,,0.47%,0.00%,0.00%,0.00%,9.69%,0.00%,8.97%,29.00%,36.43%,,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,,46.05%,,96.93%,,93.05%,,100.00%,,,1,0,0,0,1000,MDA1/2,DEC+ALB,,lf only,0.01736950457,,,,,,,,,,
Monaco,EUR,"37,094",0.00,0.00,,,0,0,0,0,,,0,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Mongolia,WPR,"2,712,650",0.00,0.00,0,0,0,0.02026968,0.02411702,0.044386703,0,0,0,,,,,19.55%,,62.60%,,55.18%,,48.26%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,,46.05%,,96.93%,,93.05%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Montenegro,EUR,"619,428",0.00,0.00,0,0,0,0,0,0,0.10274047,0.056002469,0.158742939,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Montserrat,AMR,"5,020",0.00,0.00,,,0,0,0,0,,,0,,,,,14.55%,,39.44%,,36.16%,,50.16%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Morocco,EMR,"32,409,639",0.00,"2,864.39",9.838152942,54.63515263,64.47330557,0.13302304,0.1614369,0.29,136.45,296.9782381,433.4294395,,,,,32.11%,28.09%,28.09%,,90.19%,,9.40%,,,,,0.00%,1.00%,0.10%,0.00%,7.51%,0.00%,0.00%,0.00%,10.34%,,,35.74%,,79.35%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,93.08%,,51.15%,,95.50%,,100.00%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Mozambique,AFR,"24,221,405","44,335.17","25,749.72","1,494.82","6,609.20","8,104.03","2,224.73","6,030.70",8255.434053,16511.8267,2551.895163,"19,064",,"17,118,460","3,739,881",21.85%,21.85%,,25.20%,100.00%,100.00%,19.69%,19.69%,,,,,5.50%,6.00%,2.09%,0.00%,32.94%,0.00%,18.75%,8.00%,13.02%,,,31.23%,,40.00%,,29.43%,,85.9%,,35.38%,,59.18%,,70.60%,,81.32%,,70.92%,,86.57%,,92.03%,,100.00%,,,1,1,1,1,1111,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist+sth,,167.5620127,7113.928,163.0392908,,351.5102234,215.586464,,8580.6568,,
Myanmar,SEA,"50,155,896","73,183.63",0.00,"3,680.39",105.6489307,"3,786.04",630.27,176.250503,806.53,"6,523.67","1,221.31","7,745",,"46,994,323","9,002,092",19.16%,19.16%,,73.67%,13.88%,13.88%,18.51%,18.51%,,,,,2.53%,0.00%,0.00%,35.17%,9.98%,4.15%,0.62%,30.00%,8.34%,,,47.82%,,58.32%,,14.00%,,94.9%,,47.57%,,37.87%,,71.77%,,78.57%,,43.90%,,100.00%,,100.00%,,100.00%,,,1,0,0,0,1000,MDA1/2,DEC+ALB,,lf only,232.8467942,,,,,,,,,,
Namibia,AFR,"2,173,170",0.00,"1,522.84",1.02,4.725342181,5.75,110.61,367.95,478.5596293,14.33048178,3.773190165,18.10367195,,,,,17.16%,,25.20%,,72.67%,,43.42%,,,,,0.00%,9.00%,1.83%,0.00%,5.88%,0.00%,17.05%,0.00%,2.50%,,,31.23%,,40.00%,,29.43%,,85.9%,,35.38%,,59.18%,,70.60%,,81.32%,,70.92%,,86.57%,,92.03%,,100.00%,,,0,1,1,0,0110,MDA3+T2,IVM,PZQ,onch+schist,,,420.718,,,,,,,,
Nauru,WPR,"10,025",0.00,0.00,,,0,0,0,0,,,0,,,,,19.55%,,62.60%,,55.18%,,48.26%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,,46.05%,,96.93%,,93.05%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Nepal,SEA,"27,023,137","30,099.50",0.00,251.1113288,"1,388.70","1,639.81","2,774.31","9,471.66","12,245.97","1,420.35","1,519.26","2,940",,"25,000,000","11,508,311",46.03%,46.03%,,73.67%,30.32%,30.32%,40.43%,40.43%,,,,,2.14%,0.00%,0.00%,11.88%,18.59%,18.83%,30.11%,14.00%,21.43%,,,47.82%,,58.32%,,14.00%,,94.9%,27.73%,27.73%,,37.87%,,71.77%,,78.57%,,43.90%,,100.00%,,100.00%,,100.00%,,,1,0,0,1,1001,MDA1/2,DEC+ALB,,lf+sth,236.3706601,,,35.33545294,,,1490.926401,,307.5450158,,
Netherlands,EUR,"16,615,394",0.00,0.00,0,0,0,0,0,0,0,0,0,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
New Caledonia,WPR,"250,000",0.00,0.00,,,0,0,0,0,,,0,,"12,378",,0.00%,19.55%,,62.60%,,55.18%,,48.26%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,,46.05%,,96.93%,,93.05%,,100.00%,,,1,0,0,0,1000,MDA1/2,DEC+ALB,,lf only,0,,,,,,,,,,
New Zealand,WPR,"4,350,700",0.00,0.00,0,0,0,0,0,0,0,0,0,,,,,19.55%,,62.60%,,55.18%,,48.26%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,,46.05%,,96.93%,,93.05%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Nicaragua,AMR,"5,737,723",0.00,0.00,39.68340005,0.780581187,40.46398123,6.8725135,4.17904504,11.05155854,164.2688749,32.55341818,196.8222931,,,,,14.55%,42.38%,42.38%,25.77%,25.77%,86.79%,86.79%,,,,,0.00%,0.00%,0.00%,14.65%,3.80%,0.62%,0.08%,0.00%,2.96%,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Niger,AFR,"16,425,578","11,209.69","22,823.28",0.000615968,0.003511511,0.004127479,162.925622,367.316678,530.2423001,3651.585467,359.9719075,"4,012",,"11,465,194","7,802,679",68.06%,68.06%,5.91%,5.91%,2.61%,2.61%,65.34%,65.34%,,,,,0.00%,13.00%,5.21%,0.35%,0.56%,1.72%,2.86%,0.00%,2.62%,,,31.23%,,40.00%,,29.43%,,85.9%,,35.38%,,59.18%,,70.60%,,81.32%,,70.92%,,86.57%,,92.03%,,100.00%,,,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,0,1220.635,,,,,,,,
Nigeria,AFR,"158,578,261","242,127.33","367,922.87",92.18026826,361.0216331,453.20,"5,237.57","14,678.33","19,915.90","118,911.81","36,238.54","155,150",,"88,966,825","10,489,790",11.79%,11.79%,,25.20%,,72.67%,7.92%,7.92%,,,,,0.00%,26.00%,12.20%,0.00%,5.85%,0.00%,8.77%,0.00%,30.95%,,,31.23%,,40.00%,,29.43%,,85.9%,,35.38%,100.00%,100.00%,,70.60%,51.00%,51.00%,90.48%,90.48%,,86.57%,100.00%,100.00%,,100.00%,,,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,0,101646.809,,,,,,,,
Niue,WPR,"1,496",0.00,0.00,,,0,0,0,0,,,0,,,,,19.55%,,62.60%,,55.18%,,48.26%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,,46.05%,,96.93%,,93.05%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Northern Mariana Islands,WPR,"54,424",0.00,0.00,0,0,0,0.01077579,0.0170191,0.027794881,0,0,0,,,,,19.55%,,62.60%,,55.18%,,48.26%,,,,,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.00%,0.01%,,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,,46.05%,,96.93%,,93.05%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Norway,EUR,"4,889,252",0.00,0.00,0,0,0,0,0,0,0,0,0,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Oman,EMR,"3,041,460",0.00,71.80,0.00,0.000118747,0.00,0.03,0.01,0.04,0.90,0.24,1.13502098,,,,,32.11%,,59.49%,,90.19%,,9.40%,,,,,0.00%,0.00%,0.04%,0.00%,0.56%,0.00%,0.00%,0.00%,0.28%,,,35.74%,,79.35%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,93.08%,,51.15%,,95.50%,,100.00%,,100.00%,,,0,1,0,0,0100,MDA3,IVM,,onch only,,,,,,,,,,,
Pakistan,EMR,"170,560,182",0.00,0.00,5.819218149,22.27365224,28.09287039,450.998122,965.22,"1,416.22","6,547.74","11,370.89",17918.63009,,,,,32.11%,,59.49%,,90.19%,0.39%,0.39%,,,,,0.00%,0.00%,0.00%,0.00%,0.69%,0.00%,0.60%,6.00%,9.05%,,,35.74%,,79.35%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,93.08%,,51.15%,,95.50%,100.00%,100.00%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Palau,WPR,"20,470",0.00,0.00,,,0.00,0.00,0.00,0.00,,,0,,"20,044",,0.00%,19.55%,,62.60%,,55.18%,,48.26%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,,46.05%,,96.93%,,93.05%,,100.00%,,,1,0,0,0,1000,MDA1/2,DEC+ALB,,lf only,0,,,,,,,,,,
Panama,AMR,"3,643,222",0.00,0.00,0,0,0,0.02071655,0.03698534,0.057701893,66.94600257,44.90897736,111.8549799,,,,,14.55%,,39.44%,0.35%,0.35%,0.13%,0.13%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.98%,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Papua New Guinea,WPR,"7,108,239","15,916.26",0.00,0,0,0.00,"2,217.78","6,429.83",8647.614152,3723.43067,1436.747164,"5,160",,"5,602,188","132,355",2.36%,2.36%,,62.60%,1.53%,1.53%,2.04%,2.04%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,57.75%,0.00%,28.01%,,50.00%,50.00%,65.70%,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,36.67%,36.67%,,96.93%,,93.05%,,100.00%,,,1,0,0,1,1001,MDA1/2,DEC+ALB,,lf+sth,0,,,0,,,52.87485306,,8.117227921,,
Paraguay,AMR,"6,209,877",0.00,0.00,0.945588331,5.001151504,5.946739835,80.2169506,268.990437,349.2073872,92.63883029,96.99443796,189.6332683,,,,,14.55%,,39.44%,,36.16%,,50.16%,,,,,0.00%,0.00%,0.00%,0.00%,6.13%,0.00%,6.24%,8.00%,11.56%,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Peru,AMR,"29,373,646",0.00,0.00,263.0272829,729.8312849,992.8585677,63.0483169,107.767382,170.8156988,589.1139748,545.5757553,1134.68973,,,,,14.55%,36.49%,36.49%,10.59%,10.59%,11.28%,11.28%,,,,,0.00%,0.00%,0.00%,12.95%,15.63%,1.03%,0.99%,12.00%,12.78%,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,99.60%,99.60%,,76.90%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Philippines,WPR,"93,726,624","55,452.14","61,667.62","1,222.92","4,340.32","5,563.23","5,188.16","15,846.10","21,034.26","7,215.35","12,142.90","19,358",,"33,908,807","15,183,276",44.78%,44.78%,,62.60%,12.76%,12.76%,17.02%,17.02%,,,,,1.12%,9.00%,1.74%,13.37%,14.38%,0.00%,18.31%,22.00%,33.97%,,,38.00%,,65.70%,,37.15%,,90.10%,31.50%,31.50%,,41.55%,65.10%,65.10%,83.90%,83.90%,,46.05%,,96.93%,,93.05%,,100.00%,,,1,1,1,1,1111,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist+sth,,123.9384321,79780.31,42.20841611,,92.59238454,483.2869449,,1038.89224,,1078.193733
Poland,EUR,"38,042,794",0.00,0.00,0,0,0,0,0,0,0.535786083,0.292129957,0.82791604,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Portugal,EUR,"10,573,100",0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Puerto Rico,AMR,"3,721,525",0.00,157.55,0,0,0,0,0,0,0,0,0,,,,,14.55%,,39.44%,,36.16%,,50.16%,,,,,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Qatar,EMR,"1,779,676",0.00,0.00,0,0,0,0.00446404,0.00373486,0.008198895,0,0,0,,,,,32.11%,,59.49%,,90.19%,,9.40%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,79.35%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,93.08%,,51.15%,,95.50%,,100.00%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Republic of Korea,WPR,"49,554,112","12,680.19",0.00,0,8.09E-05,8.09E-05,0,0,0.515864635,0,0,0,,,,,19.55%,,62.60%,,55.18%,,48.26%,,,,,0.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,,46.05%,,96.93%,,93.05%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Republic of Moldova,EUR,"3,562,045",0.00,0.00,0,0,0,0,0,0,0.240320501,0.147670863,0.387991364,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Romania,EUR,"20,246,871",0.00,0.00,0,0,0,0,0,0,1.684629911,0.776393514,2.461023425,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
