Country,WHO Region,Population,LF DALYs,Schist DALYs,Whipworm DALYs,Unnamed: 6,Unnamed: 7,Hookworm DALYs,Unnamed: 9,Unnamed: 10,Roundworm DALYs,Unnamed: 12,Unnamed: 13,Unnamed: 14,LF Treatment Coverage,Unnamed: 16,Unnamed: 17,Unnamed: 18,SCHIST Treatment Coverage,Unnamed: 20,STH,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Prevalence (%),Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,LF Efficacy,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,SCHIST Efficacy,Unnamed: 46,Whipworm Efficacy,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Hookworm Efficacy,Unnamed: 54,Unnamed: 55,Unnamed: 56,Roundworm Efficacy,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Treatment Guidelines,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Impact of LF,Unnamed: 75,Impact of Schist,Impact of Whipworm,Unnamed: 78,Unnamed: 79,Impact of Hookworm,Unnamed: 81,Impact of Roundworm,Unnamed: 83,Unnamed: 84
,,,Total,Total DALYs,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,"Input to make model identical to 2013, 2015",Prevalence,Number Treated,LF Treatment Coverage,Estimated LF Treatment Coverage,SCHIST Treatment Coverage,Estimated Schist Treatment Coverage,STH Pre-SAC Treatment Coverage,14842.84%,STH SAC Treatment Coverage,10631.67%,"Input to make model identical to 2013, 2015","Input to make model identical to 2013, 2015","Input to make model identical to 2013, 2015","Input to make model identical to 2013, 2015",LF,SCHIST All Ages,SCHIST SAC,Whipworm,Whipworm,Hookworm,Hookworm,Roundworm,Roundworm,"This col was input to make placement of data identical to 2013, 2015 for SA",Single Dose of DEC (6mg/kg),Estimated Efficacy,Single dose of DEC (6mg/kg) + ALB(400mg),Estimated Efficacy,Combination of ALB (400mg) +IVM (400ug/kg),Estimated Efficacy,PZQ,,Alb,,Mbd,,Ivm+Alb,,Alb,,Mbd,,Alb,,Mbd,,Ivm+Alb,,"Input to make model identical to 2013, 2015","Input to make model identical to 2013, 2015",LF,ONCH,SCHIST,STH Level,Coding,MDA type,Treatment Part 1,Treatment Part 2,Diseases targeted by the MDA,DEC+ALB,IVM+ALB,PZQ,ALB,MBD,IVM+ALB,ALB,MBD,ALB,MBD,IVM+ALB
Guam,WPR,"159,444",0.00,0.00,0,0,0,0.00822087,0.01188015,0.020101018,0.602264051,0.279324405,0.881588456,,,,,19.55%,,62.60%,,55.18%,,48.26%,,,,,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.00%,0.01%,,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,,46.05%,,96.93%,,93.05%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Guatemala,AMR,"14,630,417",0.00,0.00,590.4517906,605.248104,"1,195.70","1,941.67","4,302.12","6,243.79","1,680.72",461.2489216,2141.968267,,,,,14.55%,,39.44%,24.39%,24.39%,18.01%,18.01%,,,,,0.00%,0.00%,0.00%,0.00%,23.44%,0.00%,20.40%,0.00%,13.64%,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Guinea,AFR,"10,794,170","11,755.47","32,894.73",19.96004806,84.28424802,104.24,"1,141.08","2,997.13",4138.202868,10675.66802,1324.916896,"12,001",,"6,067,135",,0.00%,17.16%,,25.20%,100.00%,100.00%,72.31%,72.31%,,,,,1.69%,31.00%,9.79%,7.28%,11.39%,14.09%,22.36%,6.00%,9.90%,,,31.23%,,40.00%,,29.43%,,85.9%,,35.38%,,59.18%,,70.60%,,81.32%,,70.92%,,86.57%,,92.03%,,100.00%,,,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,10.57002851,9087.895,,,,,,,,
Guinea-Bissau,AFR,"1,555,880","3,323.93","4,383.07",0.290758506,1.220592487,1.511350993,99.297819,252.805891,352.1037102,1221.852443,118.9922384,"1,341",,"1,311,741",,0.00%,17.16%,,25.20%,100.00%,100.00%,,43.42%,,,,,4.75%,26.00%,2.47%,3.53%,5.58%,8.68%,13.86%,2.00%,3.61%,,,31.23%,,40.00%,,29.43%,,85.9%,,35.38%,,59.18%,,70.60%,,81.32%,,70.92%,,86.57%,,92.03%,,100.00%,,,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,8.400308115,1210.92,,,,,,,,
Guyana,AMR,"746,556","1,570.13",0.00,0.541702707,3.70684743,4.248550137,4.63278332,18.6873609,23.32014421,14.24701654,21.25391422,36,,"690,869","43,029",6.23%,6.23%,,39.44%,23.59%,23.59%,31.45%,31.45%,,,,,5.05%,0.00%,0.00%,7.30%,11.15%,2.40%,3.49%,10.00%,15.05%,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,,1,0,0,0,1000,MDA1/2,DEC+ALB,,lf only,1.748925633,,,,,,,,,,
Haiti,AMR,"9,999,617","32,396.97",0.00,2.122276946,9.208980843,11.33125779,60.4178494,152.727119,213.14,"1,012.80",237.6405749,"1,250",,"9,197,056","3,947,635",42.92%,42.92%,,39.44%,30.60%,30.60%,41.59%,41.59%,,,,,8.79%,0.00%,0.00%,2.30%,3.72%,1.35%,2.20%,5.00%,8.14%,,9.20%,9.20%,11.40%,11.40%,75.75%,75.75%,,92.0%,45.60%,45.60%,,60.00%,79.60%,79.60%,92.00%,92.00%,,17.20%,97.64%,97.64%,,76.90%,100.00%,100.00%,,,1,0,0,0,1000,MDA1/2,DEC+ALB,,lf only,146.5125005,,,,,,,,,,
Honduras,AMR,"8,194,778",0.00,0.00,166.42,749.66,916.08,73.01,182.65,255.66,442.06,490.69,932.7505557,,,,,14.55%,,39.44%,,36.16%,71.23%,71.23%,,,,,0.00%,0.00%,0.00%,21.58%,28.94%,3.32%,3.72%,0.00%,22.90%,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Hungary,EUR,"10,000,023",0.00,0.00,0,0,0,0,0,0,0,0,0,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Iceland,EUR,"318,041",0.00,0.00,0,0,0,0,0,0,0,0,0,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
India,SEA,"1,230,980,691","410,851.80",0.00,"1,682.50","8,067.54","9,750.03","22,642.93","77,172.32","99,815.25","55,898.83","64,309.70","120,209",,"604,113,435","307,786,908",50.95%,50.95%,55.81%,55.81%,28.73%,28.73%,38.31%,38.31%,,,,,1.24%,0.00%,0.00%,0.00%,5.52%,0.00%,7.40%,10.00%,16.27%,,37.30%,37.30%,44.63%,44.63%,14.00%,14.00%,,94.9%,,47.57%,,37.87%,,71.77%,,78.57%,,43.90%,,100.00%,,100.00%,,100.00%,,,1,0,0,0,1000,MDA1/2,DEC+ALB,,lf only,1499.489046,,,,,,,,,,
Indonesia,SEA,"242,524,123","248,934.97",673.28,274.8804542,"1,330.55","1,605.43","2,773.95","8,567.69","11,341.64","16,838.86","12,913.98","29,753",,"130,488,888","18,456,273",14.14%,14.14%,,73.67%,6.17%,6.17%,8.22%,8.22%,,,,,0.00%,0.00%,0.00%,5.52%,8.64%,3.94%,6.20%,9.00%,13.78%,,,47.82%,72.00%,72.00%,,14.00%,,94.9%,,47.57%,,37.87%,,71.77%,,78.57%,,43.90%,,100.00%,,100.00%,,100.00%,,,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,0,1564.484,,,,,,,,
Iran,EMR,"74,567,511",0.00,270.18,0.000243302,0.00,0.001506948,59.4382217,67.4203814,126.86,89.83,53.33,143.1623696,,,,,32.11%,,59.49%,,90.19%,,9.40%,,,,,0.00%,0.00%,0.00%,0.14%,0.19%,0.14%,0.19%,1.00%,1.39%,,,35.74%,,79.35%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,93.08%,,51.15%,,95.50%,,100.00%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Iraq,EMR,"30,762,701",0.00,"4,938.40",0.002811919,0.011415774,0.01,0.48,0.88,1.36,54.04,21.15575386,75.20052396,,,,,32.11%,,59.49%,,90.19%,,9.40%,,,,,0.00%,2.00%,0.26%,0.02%,0.04%,0.00%,0.00%,0.00%,0.06%,,,35.74%,,79.35%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,95.50%,95.50%,,51.15%,95.50%,95.50%,,100.00%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Ireland,EUR,"4,560,155",0.00,0.00,0,0,0.00,0.00,0,0,0,0,0,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Israel,EUR,"7,623,600",0.00,0.00,0,0,0,0,0,0,0,0,0,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Italy,EUR,"59,277,417",0.00,0.00,0,0,0,0,0,0,0,0,0,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Jamaica,AMR,"2,817,210",0.00,0.00,24.92934513,129.67,154.6013459,37.2840542,110.867008,148.1510617,132.1507705,278.5956802,410.7464507,,,,,14.55%,,39.44%,,36.16%,,50.16%,,,,,0.00%,0.00%,0.00%,5.15%,7.76%,4.13%,6.63%,21.00%,32.22%,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
