Country,Population,DALY,Year,strain,avail_drug_list,avail_drug_col_list,drug_mapping,strain_prevalence,strain_pct,strain_treat_covg_pct,AZM,Impact_AZM,Total_impact
Afghanistan,33736494.0,2969.002859,2013,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.1157,0.6853,255.618598,255.618598
Albania,2880703.0,0.0,2013,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Algeria,39871528.0,264.5269457,2013,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},5392.0,1,0.8556999999999999,0.8583,731.7565672,731.7565672
American Samoa,55537.0,0.185493684,2013,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3122,0.7895,0.0,0.0
Andorra,78014.0,0.0,2013,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Angola,27859305.0,0.0,2013,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},0.0,1,0.3836,0.8583,0.0,0.0
Anguilla,14723.0,0.0,2013,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Antigua and Barbuda,99923.0,0.0,2013,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Argentina,43417765.0,0.0,2013,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Armenia,2916950.0,0.0,2013,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Aruba,104341.0,0.0,2013,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Australia,23789338.0,2.367580337,2013,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},20123.0,1,0.4573,0.7895,1.337832839,1.337832839
