Country,Population,DALY,Year,strain,avail_drug_list,avail_drug_col_list,drug_mapping,strain_prevalence,strain_pct,strain_treat_covg_pct,AZM,Impact_AZM,Total_impact
Afghanistan,33736494.0,1356.40848,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.1157,0.6853,116.7810374,116.7810374
Albania,2880703.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Algeria,39871528.0,2289.04473,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},5392.0,1,0.8556999999999999,0.8583,6332.147031,6332.147031
American Samoa,55537.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3122,0.7895,0.0,0.0
Andorra,78014.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Angola,27859305.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},0.0,1,0.3836,0.8583,0.0,0.0
Anguilla,14723.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Antigua and Barbuda,99923.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Argentina,43417765.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Armenia,2916950.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Aruba,104341.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Australia,23789338.0,307.628584,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},20123.0,1,0.4573,0.7895,173.8296333,173.8296333
Austria,8633169.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Azerbaijan,9649341.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Bahamas,386838.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Bahrain,1371855.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.1157,0.6853,0.0,0.0
Bangladesh,161200886.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.7895,0.0,0.0
Barbados,284217.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Belarus,9489616.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Belgium,11274196.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Belize,359288.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Benin,10575952.0,606.99807,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},1112343.0,1,0.9745,0.8583,3103.349094,3103.349094
Bermuda,65235.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Bhutan,787386.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.7895,0.0,0.0
Bolivia,10724705.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
"Bonaire, Saint Eustatius and Saba",,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Bosnia and Herzegovina,3535961.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Botswana,2209197.0,112.896899,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3836,0.8583,0.0,0.0
Brazil,205962108.0,9811.62,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},4943337.0,1,0.006500000000000001,0.7895,50.64225775,50.64225775
British Virgin Islands,30113.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Brunei Darussalam,417542.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3122,0.7895,0.0,0.0
Bulgaria,7177991.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Burkina Faso,18110624.0,1468.66221,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},0.0,1,0.3836,0.8583,720.9051562,720.9051562
Burundi,10199270.0,76.7132483,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},1861943.0,1,0.3836,0.8583,37.65534094,37.65534094
Cambodia,15517635.0,1742.75685,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},0.0,1,0.3122,0.7895,0.0,0.0
Cameroon,22834522.0,742.072207,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},0.0,1,0.3836,0.8583,364.2523629,364.2523629
Canada,35848610.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Cape Verde,532913.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3836,0.8583,0.0,0.0
Cayman Islands,59963.0,0.0,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Central African Republic,4546100.0,130.084938,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},2590015.0,1,0.318,0.8583,48.84677867,48.84677867
Chad,14009413.0,1591.66375,2017,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},4853178.0,1,0.9173,0.8583,5892.171471,5892.171471
