Country,Population,DALY,Year,strain,avail_drug_list,avail_drug_col_list,drug_mapping,strain_prevalence,strain_pct,strain_treat_covg_pct,DEC_ALB,IVM_ALB,PZQ,ALB,MBD,IVM,Impact_DEC_ALB,Impact_IVM_ALB,Impact_PZQ,Impact_ALB,Impact_MBD,Impact_IVM,Total_impact
Afghanistan,31731688,0.00,2013,LF,[],[],{},0.0,1,0.4714,0.7935,0.3715,0.906,0.3933,0.5018,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,31731688,0,2013,Schist,[],[],{},0.0,1,0.5949,0.7935,0.3715,0.906,0.3933,0.5018,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,31731688,227.3498608,2013,Whipworm,[],[],{},0.1131,1,0.6994,0.7935,0.5976,0.906,0.3933,0.5018,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,31731688,248.93,2013,Hookworm,[],[],{},0.006999999999999999,1,0.6994,0.7935,0.3715,0.906,0.9308,0.5013,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,31731688,"14,353.46",2013,Roundworm,[],[],{},0.4378,1,0.6994,0.7935,0.9999,0.906,0.955,0.9999,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,31731688,0,2013,Onch,[],[],{},0.0,1,0.3122,0.7935,0.3715,0.906,0.3933,0.5018,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2895092,0.00,2013,LF,[],[],{},0.0,1,0.5262,0.5137,0.3715,0.906,0.3933,0.5018,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2895092,0,2013,Schist,[],[],{},0.0,1,0.3468,0.5137,0.3715,0.906,0.3933,0.5018,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2895092,0,2013,Whipworm,[],[],{},0.0,1,1.0,0.5137,0.5976,0.906,0.3933,0.5018,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2895092,0,2013,Hookworm,[],[],{},0.0,1,1.0,0.5137,0.3715,0.906,0.7896,0.5013,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2895092,1.06,2013,Roundworm,[],[],{},0.0,1,1.0,0.5137,0.9999,0.906,0.9216,0.9296,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2895092,0,2013,Onch,[],[],{},0.0,1,0.6296,0.5137,0.3715,0.906,0.3933,0.5018,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,38338562,0.00,2013,LF,[],[],{},0.0,1,0.259,0.4,0.2943,0.874,0.3816,0.5676,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,38338562,5580.508451,2013,Schist,[],[],{},0.01,1,0.252,0.4,0.2943,0.874,0.3816,0.5676,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,38338562,1.501929579,2013,Whipworm,[],[],{},0.022000000000000002,1,0.5668,0.4,0.4718,0.874,0.3816,0.5676,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,38338562,0.40,2013,Hookworm,[],[],{},0.0,1,0.5668,0.4,0.2943,0.874,0.8018,0.7092,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
