Country,Population,DALY,Year,strain,avail_drug_list,avail_drug_col_list,drug_mapping,strain_prevalence,strain_pct,strain_treat_covg_pct,AZM,Impact_AZM,Total_impact
San Marino,32960.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Sao Tome and Principe,195553.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3836,0.8583,0.0,0.0
Saudi Arabia,31557144.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.1157,0.633,0.0,0.0
Senegal,14976994.0,154.0748098,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},152175200.0,1,0.006999999999999999,0.8583,0.9257993164,0.9257993164
Serbia,7095383.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Seychelles,93419.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3836,0.8583,0.0,0.0
Sierra Leone,7237025.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3836,0.8583,0.0,0.0
Singapore,5535002.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3122,0.7895,0.0,0.0
Sint Maarten (Dutch part),38824.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Slovakia,5423801.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Slovenia,2063531.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Solomon Islands,587482.0,15.29951961,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},530022.0,1,0.3122,0.7895,5.00555115,5.00555115
Somalia,13908129.0,4554.752453,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.1157,0.6853,0.0,0.0
South Africa,55011976.68,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3836,0.8583,0.0,0.0
South Sudan,11882136.0,1853.740701,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},203740300.0,1,0.0005,0.8583,0.814249144,0.814249144
Spain,46447697.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Sri Lanka,20966000.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.7895,0.0,0.0
Sudan,38647803.0,505.8385902,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},406762000.0,1,0.006,0.6853,2.090907301,2.090907301
Suriname,553208.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Swaziland,1319011.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3836,0.8583,0.0,0.0
Sweden,9799186.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Switzerland,8282396.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Syrian Arab Republic,18734987.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.1157,0.6853,0.0,0.0
Tajikistan,8548651.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Tanzania,53879957.0,472.31,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},3216046.0,1,0.8245,0.792,0.0,0.0
Thailand,68657600.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.7895,0.0,0.0
The former Yugoslav Republic of Macedonia,2079308.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Timor-Leste,1240977.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.7895,0.0,0.0
Togo,7416802.0,176.7461185,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},0.0,1,0.3836,0.8583,0.0,0.0
Tokelau,,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3122,0.7895,0.0,0.0
Tonga,106364.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3122,0.7895,0.0,0.0
Trinidad and Tobago,1360092.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Tunisia,11273661.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.1157,0.6853,0.0,0.0
Turkey,78271472.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Turkmenistan,5565284.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Turks and Caicos Islands,34339.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Tuvalu,11001.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3122,0.7895,0.0,0.0
Uganda,40144870.0,259.4251723,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},58942100.0,1,0.008199999999999999,0.8583,1.848246396,1.848246396
Ukraine,45154029.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
United Arab Emirates,9154302.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.1157,0.6853,0.0,0.0
United Kingdom of Great Britain and Northern Ireland,65128861.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
United States,320896618.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Uruguay,3431552.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
US Virgin Islands,103574.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Uzbekistan,31298900.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Vanuatu,264603.0,1.130539462,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},277708.0,1,0.3122,0.7895,0.3698791366,0.3698791366
Venezuela,31155134.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Viet Nam,91713300.0,1854.896649,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},3712.0,1,1.0,0.7895,6958.758349,6958.758349
Wallis and Futuna Islands,,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3122,0.7895,0.0,0.0
West Bank and Gaza Strip,4422143.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.1157,0.6853,0.0,0.0
Yemen,26916207.0,465.8819217,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},1455523.0,1,0.1157,0.6853,40.11046447,40.11046447
Zambia,16100587.0,139.1585633,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},459753600.0,1,0.0060999999999999995,0.8583,0.730104963,0.730104963
Zimbabwe,15777451.0,293.71,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},166015900.0,1,0.3836,0.8583,144.1714024,144.1714024
