Country,Population,DALY,Year,strain,avail_drug_list,avail_drug_col_list,drug_mapping,strain_prevalence,strain_pct,strain_treat_covg_pct,DEC_ALB,IVM_ALB,PZQ,ALB,MBD,IVM,Impact_DEC_ALB,Impact_IVM_ALB,Impact_PZQ,Impact_ALB,Impact_MBD,Impact_IVM,Total_impact
Afghanistan,33736494,0,2015,LF,[],[],{},0.0,1,0.5709000000000001,0.7935,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,33736494,0,2015,Schist,[],[],{},0.0,1,0.7390000000000001,0.7935,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,33736494,238.2489251,2015,Whipworm,[],[],{},0.11289999999999999,1,0.5301,0.7935,0.5976,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,33736494,266.75,2015,Hookworm,[],[],{},0.006999999999999999,1,0.5301,0.7935,0.3715,0.906,0.7614,0.4362,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,33736494,15161.43194,2015,Roundworm,[],[],{},0.43770000000000003,1,0.5301,0.7935,0.848,0.906,0.955,0.9999,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,33736494,0,2015,Onch,[],[],{},0.0,1,0.4014,0.7935,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2880703,0,2015,LF,[],[],{},0.0,1,0.5709000000000001,0.5144,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2880703,0,2015,Schist,[],[],{},0.0,1,0.4792,0.5144,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2880703,0,2015,Whipworm,[],[],{},0.0,1,0.5982999999999999,0.5144,0.5976,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2880703,0,2015,Hookworm,[],[],{},0.0,1,0.5982999999999999,0.5144,0.3715,0.906,0.7614,0.4362,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2880703,0.967039267,2015,Roundworm,[],[],{},0.0,1,0.5982999999999999,0.5144,0.848,0.906,0.9216,0.8866,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2880703,0,2015,Onch,[],[],{},0.0,1,0.6890000000000001,0.5144,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,39871528,0,2015,LF,[],[],{},0.0,1,0.3345,0.4,0.2943,0.874,0.3816,0.4859,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,39871528,5620.391855,2015,Schist,[],[],{},0.01,1,0.42200000000000004,0.4,0.2943,0.874,0.3816,0.4859,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,39871528,1.57519915,2015,Whipworm,[],[],{},0.022000000000000002,1,0.5938,0.4,0.4718,0.874,0.3816,0.4859,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,39871528,0.430791625,2015,Hookworm,[],[],{},0.0,1,0.5938,0.4,0.2943,0.874,0.8699,0.7092,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,39871528,140.4627138,2015,Roundworm,[],[],{},0.050499999999999996,1,0.5938,0.4,0.696,0.874,0.9067,0.8483,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,39871528,0,2015,Onch,[],[],{},0.0,1,0.6375,0.4,0.2943,0.874,0.3816,0.4859,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
